latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
39.71490946666667,-105.11522513055553,1693.728,0.57944,163,2019,0.999335,-38.017
39.71490948611112,-105.11522513333331,1693.7395,0.57917,163,2019,0.999335,-38.216
39.714909480555555,-105.11522516111108,1693.7338,0.57889,163,2019,0.999335,-38.321
39.714909475000006,-105.11522516666665,1693.7417,0.57861,163,2019,0.999335,-37.811
39.714909463888894,-105.11522515277775,1693.7441,0.57833,163,2019,0.999335,-38.881
39.71490943055556,-105.11522509999998,1693.7373,0.57806,163,2019,0.999335,-38.202
39.714909452777796,-105.11522513888887,1693.7366,0.57778,163,2019,0.999335,-37.889
39.7149095138889,-105.11522510833333,1693.7314,0.57750,163,2019,0.999335,-38.701
39.71490950277778,-105.11522511388888,1693.7379,0.57722,163,2019,0.999335,-38.512
39.714909475000006,-105.11522514999999,1693.7339,0.57694,163,2019,0.999335,-38.303
39.71490944444444,-105.11522515277775,1693.7331,0.57667,163,2019,0.999335,-38.672
39.71490954166667,-105.11522514166666,1693.7412,0.57639,163,2019,0.999335,-38.835
39.714909544444446,-105.115225125,1693.7384,0.57611,163,2019,0.999335,-39.162
39.714909536111115,-105.11522512777778,1693.7376,0.57583,163,2019,0.999335,-38.553
39.71490951944446,-105.11522514166666,1693.7371,0.57556,163,2019,0.999335,-38.919
39.714909527777785,-105.11522513888887,1693.739,0.57528,163,2019,0.999335,-37.981
39.71490955555556,-105.11522511388888,1693.7333,0.57500,163,2019,0.999335,-38.086
39.71490955277779,-105.11522513055553,1693.7351,0.57472,163,2019,0.999335,-37.563
39.71490955833334,-105.11522509999998,1693.7382,0.57444,163,2019,0.999335,-38.192
39.7149096,-105.11522510833333,1693.7337,0.57417,163,2019,0.999335,-38.133
39.71490959444445,-105.11522512777778,1693.7404,0.57389,163,2019,0.999335,-37.708
39.71490961111111,-105.11522509166664,1693.7326,0.57361,163,2019,0.999335,-37.555
39.714909547222234,-105.11522514999999,1693.7341,0.57333,163,2019,0.999335,-37.166
39.7149096,-105.11522511388888,1693.7419,0.57306,163,2019,0.999335,-37.720
39.714909544444446,-105.11522508055553,1693.7286,0.57278,163,2019,0.999335,-37.049
39.7149095888889,-105.11522498333335,1693.7201,0.57250,163,2019,0.999335,-36.647
39.714909655555566,-105.11522495277777,1693.7248,0.57222,163,2019,0.999335,-36.268
39.71490957777778,-105.11522498333335,1693.7176,0.57194,163,2019,0.999335,-37.500
39.714909597222224,-105.11522503333333,1693.7161,0.57167,163,2019,0.999335,-37.720
39.714909597222224,-105.11522503055555,1693.7111,0.57139,163,2019,0.999335,-37.422
39.71490956666667,-105.11522503333333,1693.7138,0.57111,163,2019,0.999335,-38.215
39.7149095638889,-105.11522509999998,1693.7198,0.57083,163,2019,0.999335,-37.978
39.71490956666667,-105.11522506388889,1693.72,0.57056,163,2019,0.999335,-38.027
39.71490957777778,-105.11522506666667,1693.7175,0.57028,163,2019,0.999335,-37.651
39.7149095888889,-105.11522511666666,1693.7225,0.57000,163,2019,0.999335,-37.856
39.71490958055556,-105.11522508055553,1693.7182,0.56972,163,2019,0.999335,-38.246
39.714909586111126,-105.1152250861111,1693.7189,0.56944,163,2019,0.999335,-38.446
39.7149095638889,-105.11522507222222,1693.7143,0.56917,163,2019,0.999335,-38.515
39.714909575,-105.11522509999998,1693.7169,0.56889,163,2019,0.999335,-38.337
39.71490960555556,-105.11522509166664,1693.713,0.56861,163,2019,0.999335,-38.951
39.71490960555556,-105.11522509444443,1693.7138,0.56833,163,2019,0.999335,-38.751
39.714909586111126,-105.11522511944443,1693.7173,0.56806,163,2019,0.999335,-39.462
39.714909547222234,-105.11522512777778,1693.716,0.56778,163,2019,0.999335,-39.555
39.71490953888889,-105.115225125,1693.7201,0.56750,163,2019,0.999335,-39.085
39.71490953333333,-105.11522511666666,1693.72,0.56722,163,2019,0.999335,-39.066
39.7149095638889,-105.11522512777778,1693.7276,0.56694,163,2019,0.999335,-39.146
39.714909544444446,-105.11522514722222,1693.7259,0.56667,163,2019,0.999335,-39.261
39.714909475000006,-105.11522512222221,1693.7199,0.56639,163,2019,0.999335,-39.190
39.714909494444456,-105.11522510555554,1693.7229,0.56611,163,2019,0.999335,-38.713
39.714909527777785,-105.11522506944443,1693.7155,0.56583,163,2019,0.999335,-37.809
39.71490952500001,-105.11522512222221,1693.7179,0.56556,163,2019,0.999335,-38.141
39.71490950555556,-105.11522515555554,1693.7184,0.56528,163,2019,0.999335,-38.158
39.714909508333335,-105.11522516388887,1693.7132,0.56500,163,2019,0.999335,-38.116
39.714909508333335,-105.11522515277775,1693.7145,0.56472,163,2019,0.999335,-37.554
39.71490953333333,-105.11522516944443,1693.7137,0.56444,163,2019,0.999335,-38.202
39.71490955555556,-105.11522519722223,1693.7206,0.56417,163,2019,0.999335,-38.674
39.714909522222236,-105.1152251722222,1693.7202,0.56389,163,2019,0.999335,-38.483
39.7149095138889,-105.11522515277775,1693.7164,0.56361,163,2019,0.999335,-38.837
39.714909527777785,-105.11522514444444,1693.7217,0.56333,163,2019,0.999335,-39.305
39.7149095138889,-105.11522516666665,1693.7262,0.56306,163,2019,0.999335,-39.314
39.714909480555555,-105.11522520555555,1693.7251,0.56278,163,2019,0.999335,-39.475
39.714909508333335,-105.1152252027778,1693.7268,0.56250,163,2019,0.999335,-39.089
39.714909527777785,-105.11522519444445,1693.7275,0.56222,163,2019,0.999335,-38.963
39.71490954166667,-105.11522518888889,1693.7313,0.56194,163,2019,0.999335,-37.784
39.71490955000001,-105.11522516944443,1693.7215,0.56167,163,2019,0.999335,-38.736
39.71490951111112,-105.11522515555554,1693.7277,0.56139,163,2019,0.999335,-38.786
39.71490952500001,-105.11522518055556,1693.7316,0.56111,163,2019,0.999335,-38.783
39.71490950555556,-105.11522518611109,1693.7323,0.56083,163,2019,0.999335,-38.744
39.71490946944445,-105.11522521111111,1693.7301,0.56056,163,2019,0.999335,-38.583
39.71490946666667,-105.11522518611109,1693.7393,0.56028,163,2019,0.999335,-38.218
39.71490944166667,-105.11522514999999,1693.7352,0.56000,163,2019,0.999335,-38.492
39.714909452777796,-105.11522516666665,1693.7286,0.55972,163,2019,0.999335,-38.595
39.71490944444444,-105.11522518888889,1693.73,0.55944,163,2019,0.999335,-38.437
39.714909436111114,-105.11522513055553,1693.7312,0.55917,163,2019,0.999335,-37.949
39.71490943888889,-105.11522518611109,1693.7228,0.55889,163,2019,0.999335,-38.589
39.71490945555556,-105.11522514166666,1693.7192,0.55861,163,2019,0.999335,-37.629
39.714909411111115,-105.11522514999999,1693.7204,0.55833,163,2019,0.999335,-37.856
39.714909422222235,-105.11522513055553,1693.723,0.55806,163,2019,0.999335,-37.744
39.71490943333334,-105.11522517777777,1693.7292,0.55778,163,2019,0.999335,-38.253
39.71490943333334,-105.11522516388887,1693.7278,0.55750,163,2019,0.999335,-38.429
39.71490946666667,-105.11522512777778,1693.7328,0.55722,163,2019,0.999335,-38.130
39.71490950555556,-105.11522510833333,1693.726,0.55694,163,2019,0.999335,-37.612
39.714909522222236,-105.11522513888887,1693.7271,0.55667,163,2019,0.999335,-38.216
39.714909458333345,-105.11522515833332,1693.7298,0.55639,163,2019,0.999335,-37.862
39.714909463888894,-105.11522514722222,1693.7263,0.55611,163,2019,0.999335,-37.259
39.714909491666674,-105.11522525555554,1693.7268,0.55583,163,2019,0.999335,-36.751
39.71490948611112,-105.11522521111111,1693.7335,0.55556,163,2019,0.999335,-36.611
39.71490944444444,-105.11522511388888,1693.7291,0.55528,163,2019,0.999335,-37.694
39.71490950555556,-105.115225125,1693.7285,0.55500,163,2019,0.999335,-39.432
39.714909480555555,-105.11522510277776,1693.7295,0.55472,163,2019,0.999335,-38.292
39.714909452777796,-105.11522511388888,1693.731,0.55444,163,2019,0.999335,-38.845
39.714909463888894,-105.11522511944443,1693.7352,0.55417,163,2019,0.999335,-38.975
39.71490947777778,-105.1152250611111,1693.7311,0.55389,163,2019,0.999335,-39.005
39.714909500000005,-105.115225125,1693.732,0.55361,163,2019,0.999335,-38.680
39.714909458333345,-105.11522510277776,1693.7314,0.55333,163,2019,0.999335,-38.126
39.71490946944445,-105.11522512777778,1693.7306,0.55306,163,2019,0.999335,-39.312
39.71490945555556,-105.11522508333331,1693.7247,0.55278,163,2019,0.999335,-38.159
39.714909436111114,-105.11522513333331,1693.7305,0.55250,163,2019,0.999335,-38.278
39.71490941666668,-105.11522512777778,1693.7351,0.55222,163,2019,0.999335,-37.983
39.714909422222235,-105.11522500555554,1693.7348,0.55194,163,2019,0.999335,-36.768
39.71490940833333,-105.11522508055553,1693.7263,0.55167,163,2019,0.999335,-38.587
39.714909411111115,-105.11522510555554,1693.7263,0.55139,163,2019,0.999335,-38.103
39.71490939166668,-105.11522511111109,1693.719,0.55111,163,2019,0.999335,-39.221
39.71490938611113,-105.11522514722222,1693.7222,0.55083,163,2019,0.999335,-38.229
39.714909411111115,-105.1152251833333,1693.7233,0.55056,163,2019,0.999335,-38.466
39.71490945555556,-105.11522520000001,1693.7135,0.55028,163,2019,0.999335,-38.507
39.71490942500001,-105.1152251722222,1693.7183,0.55000,163,2019,0.999335,-38.608
39.714909422222235,-105.11522520555555,1693.7123,0.54972,163,2019,0.999335,-38.251
39.714909491666674,-105.11522519722223,1693.709,0.54944,163,2019,0.999335,-37.627
39.71490941944445,-105.11522514999999,1693.7086,0.54917,163,2019,0.999335,-38.196
39.71490943055556,-105.11522514444444,1693.7186,0.54889,163,2019,0.999335,-38.001
39.71490938055557,-105.11522522777776,1693.7161,0.54861,163,2019,0.999335,-38.084
39.714909358333344,-105.11522520000001,1693.7219,0.54833,163,2019,0.999335,-37.794
39.71490935277779,-105.11522523611109,1693.7195,0.54806,163,2019,0.999335,-38.429
39.71490939444445,-105.1152251722222,1693.7181,0.54778,163,2019,0.999335,-39.192
39.71490941666668,-105.11522513055553,1693.7213,0.54750,163,2019,0.999335,-38.491
39.71490942777779,-105.11522518055556,1693.7203,0.54722,163,2019,0.999335,-38.205
39.71490942777779,-105.11522515833332,1693.7236,0.54694,163,2019,0.999335,-38.932
39.71490941388889,-105.11522520000001,1693.7247,0.54667,163,2019,0.999335,-39.099
39.71490940277778,-105.11522519166667,1693.7206,0.54639,163,2019,0.999335,-39.065
39.71490939166668,-105.11522515555554,1693.7219,0.54611,163,2019,0.999335,-39.027
39.714909375000005,-105.11522514999999,1693.7252,0.54583,163,2019,0.999335,-39.030
39.71490936944445,-105.11522518888889,1693.7257,0.54556,163,2019,0.999335,-38.781
39.71490936666667,-105.11522514444444,1693.7253,0.54528,163,2019,0.999335,-38.783
39.71490935277779,-105.11522514444444,1693.726,0.54500,163,2019,0.999335,-38.672
39.71490936388889,-105.11522516944443,1693.7193,0.54472,163,2019,0.999335,-38.280
39.71490938333335,-105.11522516388887,1693.7234,0.54444,163,2019,0.999335,-38.415
39.71490941388889,-105.11522512777778,1693.7223,0.54417,163,2019,0.999335,-38.803
39.71490939166668,-105.11522513611109,1693.73,0.54389,163,2019,0.999335,-38.847
39.71490937777778,-105.11522514166666,1693.7274,0.54361,163,2019,0.999335,-38.661
39.714909338888894,-105.11522513611109,1693.7265,0.54333,163,2019,0.999335,-38.717
39.71490935000001,-105.11522516388887,1693.7234,0.54306,163,2019,0.999335,-38.622
39.71490936944445,-105.11522520555555,1693.7252,0.54278,163,2019,0.999335,-38.703
39.71490936944445,-105.11522520555555,1693.7223,0.54250,163,2019,0.999335,-38.376
39.71490936388889,-105.11522523055554,1693.7272,0.54222,163,2019,0.999335,-38.456
39.71490935555556,-105.11522520833333,1693.7169,0.54194,163,2019,0.999335,-38.149
39.71490939722222,-105.11522514999999,1693.7257,0.54167,163,2019,0.999335,-38.639
39.71490940833333,-105.11522518055556,1693.7218,0.54139,163,2019,0.999335,-38.731
39.71490936111112,-105.11522515555554,1693.7183,0.54111,163,2019,0.999335,-39.034
39.71490936388889,-105.11522514999999,1693.7181,0.54083,163,2019,0.999335,-38.779
39.71490931944445,-105.11522515277775,1693.7246,0.54056,163,2019,0.999335,-37.653
39.71490935555556,-105.11522515277775,1693.7187,0.54028,163,2019,0.999335,-38.640
39.71490936388889,-105.11522513333331,1693.7221,0.54000,163,2019,0.999335,-38.344
39.71490938333335,-105.11522515277775,1693.7172,0.53972,163,2019,0.999335,-38.002
39.71490937777778,-105.11522519166667,1693.7153,0.53944,163,2019,0.999335,-37.725
